,順位,名称,小見出し,詳細,住所,最寄駅,最安値,クチコミ総合,詳細リンク
0,第1位,季の湯雪月花,全室檜の露天風呂付＆無料貸切風呂♪カップル、グループに人気宿★,全室露天風呂付客室☆強羅駅から徒歩1分♪当館目の前のバス停よりアクセス良好♪2つの源泉☆大浴場・3つの無料貸切風呂・炭酸泉で湯めぐり三昧！色浴衣、湯上りドリンク、夜鳴きそば等無料サービスも充実♪,神奈川県足柄下郡箱根町強羅１３００−３４,強羅,"11,000円",4.1,https://www.jalan.net/yad371898/
1,第2位,鬼怒川温泉あさや,じゃらんアワード2019【売れた宿・泊まって良かった宿大賞】受賞☆,夢と感動、思い出の旅,栃木県日光市鬼怒川温泉滝813,鬼怒川温泉/鬼怒川公園,"15,400円",4.6,https://www.jalan.net/yad338142/
2,第3位,仙台秋保温泉ホテル瑞鳳（ずいほう）,じゃらんOfTheYear2019受賞 10年連続じゃらん東北売上No.1の人気宿,秋保名所「磊々峡」を眼下に見渡す風光明媚な佇まい。,宮城県仙台市太白区秋保町湯元字除２６−１,,"10,000円",4.5,https://www.jalan.net/yad309236/
3,第4位,箱根湯本温泉ホテル南風荘,◆おかげさまで3年連続じゃらんアワード受賞☆関東甲信越エリア1位,箱根湯本温泉に佇むホテル、温泉はお肌と身体に優しいアルカリ性単純泉！お部屋食や温泉露天風呂付のお部屋・記念日プラン等色々なタイプ・プランをご用意しています。お料理もさがみの素材を中心にご用意♪,神奈川県足柄下郡箱根町湯本茶屋１７９,箱根湯本,"9,900円",4.6,https://www.jalan.net/yad385995/
4,第5位,箱根湯本温泉天成園,安心・安全！新型コロナウィルス対策をできる限り講じております！,箱根の山々に囲まれた絶景屋上露天風呂で癒しの湯浴み。お食事なしの日帰り旅行も大歓迎！,足柄下郡箱根町湯本682,箱根湯本,"11,120円",4.1,https://www.jalan.net/yad330299/
5,第6位,湯宿季の庭（ときのにわ）,全客室温泉露天風呂付きの湯宿〜23種の湯処と畳敷きの館内で寛ぐ〜,湯畑より少し離れた閑静な高台に佇む、全客室温泉露天風呂付きの宿。,群馬県吾妻郡草津町大字草津白根４６４−２１４,長野原草津口/軽井沢,"14,000円",3.9,https://www.jalan.net/yad375013/
6,第7位,下呂温泉水明館,★土曜日対象５０００円クーポン配布中★最大２１時間の贅沢ステイ,◆多彩な館内施設が自慢◆３つの大浴場(1つは24時間)、３種のレストラン、バー、プール＆ジム、タレントショー、カラオケ、館内美術品ツアー、岩盤浴、エステ(酸素カプセルが人気♪)、貸切風呂,下呂市幸田1268,下呂,"8,800円",4.2,https://www.jalan.net/yad328767/
7,第8位,草津温泉 ホテル櫻井,アワード受賞｜源泉100％かけ流し温泉と湯もみショーが楽しめる宿,◆当館では新型コロナウィルス感染拡大防止策を実施しております◆,群馬県吾妻郡草津町大字草津４６５−４,長野原草津口,"11,000円",4.5,https://www.jalan.net/yad310401/
8,第9位,洞爺サンパレスリゾート＆スパ,口コミお風呂4.6点獲得！絶景露天風呂が自慢のリゾートホテル。,徹底した衛生管理と新たなコンセプトのもと、五感を満たすレストラン「パレシオグランデ」で旬のお料理を。NEWセルフロウリュサウナオープン！※5/16〜31まで「洞爺湖ロングラン花火大会」は中止。,北海道有珠郡壮瞥町洞爺湖温泉７−１,洞爺,"8,250円",4.1,https://www.jalan.net/yad326385/
9,第10位,箱根湯本温泉ホテルおかだ,★人気温泉旅館ホテル５つ星の宿★箱根湯本の温泉リゾートホテル,箱根の山々に囲まれた、大自然に佇む和風リゾートホテル。美肌の湯と言われる源泉(ph8.7)を5本所有し、豊富な湯量が魅力。館内の大浴場はもちろん、隣接の日帰り温泉もじゃらんの予約で嬉しい「入り放題」♪,神奈川県足柄下郡箱根町湯本茶屋191,箱根湯本,"10,300円",4.2,https://www.jalan.net/yad339963/
